message,report_time,disaster_category,information_type,report_classification,timestamp
C6AD10852380034DE2000A430A357BC9640112C000000000000000133A1D1E8,2024-01-01T09:07:00.000Z,震源,発表,優先,2024-01-01T18:07:39+09:00
53AD1885238000521B4400000000000000000000000000000000001187E06B8,2024-01-01T09:07:00.000Z,震度,発表,優先,2024-01-01T18:08:19+09:00
53AC88852400932400000A48053E7BDDC000072000000001800000131393924,2024-01-01T09:08:00.000Z,緊急地震速報,発表,最優先,2024-01-01T18:08:43+09:00
53AD18852500005244451E90000000000000000000000000000000110F9AAE0,2024-01-01T09:10:00.000Z,震度,発表,優先,2024-01-01T18:10:19+09:00
9AAD10852580034DE2000A4805387BC9640112C000000000000000137453724,2024-01-01T09:11:00.000Z,震源,発表,優先,2024-01-01T18:11:59+09:00
53AD18852580005243451E9000000000000000000000000000000010BA5F5C4,2024-01-01T09:11:00.000Z,震度,発表,優先,2024-01-01T18:12:19+09:00
9AAD10852C80034C00000A57052C6189520112600000000000000013F8D15AC,2024-01-01T09:25:00.000Z,震源,発表,優先,2024-01-01T18:25:59+09:00
C6AD18852C800052BA440000000000000000000000000000000000126CE9724,2024-01-01T09:25:00.000Z,震度,発表,優先,2024-01-01T18:26:39+09:00
53AC88852F004B2400000A5E05347BD980000100000000010000001319B08B8,2024-01-01T09:30:00.000Z,緊急地震速報,発表,最優先,2024-01-01T18:31:07+09:00
53AD188530000052F244000000000000000000000000000000000013ABC5914,2024-01-01T09:32:00.000Z,震度,発表,優先,2024-01-01T18:32:19+09:00
9AAD10853080034DE2000A5E05317BC9640112C00000000000000011CCAB5DC,2024-01-01T09:33:00.000Z,震源,発表,優先,2024-01-01T18:33:59+09:00
53AD188530800052F2440000000000000000000000000000000000132FEE980,2024-01-01T09:33:00.000Z,震度,発表,優先,2024-01-01T18:34:19+09:00
9AAC88853400932400000A68053B7BD9800003000000000100000011C5A62D8,2024-01-01T09:40:00.000Z,緊急地震速報,発表,最優先,2024-01-01T18:40:23+09:00
53AD1885350000534344000000000000000000000000000000000011124891C,2024-01-01T09:42:00.000Z,震度,発表,優先,2024-01-01T18:42:19+09:00
C6AD10853580034DE2000A68052F7BC946011120000000000000001218288B4,2024-01-01T09:43:00.000Z,震源,発表,優先,2024-01-01T18:43:39+09:00
9AAD18853580005343440000000000000000000000000000000000136022EAC,2024-01-01T09:43:00.000Z,震度,発表,優先,2024-01-01T18:43:59+09:00
